Name,Address,Price,Apartment Units,Distance,Info,Rating,Tags
Kurve on Wilshire,"2801 Sunset Place, Los Angeles, California(CA) 90005","2,019","[{bedroom: Studio, price: 2,019}, {bedroom: 1, price: 2,595}, {bedroom: 2, price: 4,219}, {bedroom: 3, price: 19,852}]",4.29km,"{walking: 62, cycling: 17, transit: 28, driving: 14}",5.0(2),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'Package collection', 'Brand new apartment ', 'With gym']"
Park 5th,"427 W. 5th Street, Los Angeles, California(CA) 90013","2,576","[{'bedroom': 'Studio', 'price': '2,576'}, {'bedroom': '1', 'price': '3,232'}, {'bedroom': '2', 'price': '4,030'}, {'bedroom': '3', 'price': '5,354'}]",4.28km,"{'walking': '63', 'cycling': '20', 'transit': '29', 'driving': '12'}",4.9(61),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With gym', 'Pets allowed' ', 'Brand new apartment']"
Atelier,"801 S Olive Street, Los Angeles, California(CA) 90014","2,695","[{'bedroom': '1', 'price': '2,695'}, {'bedroom': 'Studio', 'price': '2,825'}, {'bedroom': '2', 'price': '4,782'}, {'bedroom': '3', 'price': '6,000'}]",3.6km,"{'walking': '55', 'cycling': '17', 'transit': '25', 'driving': '13'}",2.3(18),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With gym', 'Pets allowed' ', 'Package collection', 'Short-term rental available']"
Park LA Brea,"6200 W 3rd St, Los Angeles, California(CA) 90036","2,346","[{'bedroom': '1', 'price': '2,346'}, {'bedroom': 'Studio', 'price': '2,361'}, {'bedroom': '2', 'price': '3,131'}]",8.38km,"{'walking': '140', 'cycling': '41', 'transit': '72', 'driving': '25'}",4.6(14),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee']"
Violet on Virgil,"160 S Virgil Ave, Los Angeles, California(CA) 90004","1,475","[{'bedroom': 'Studio', 'price': '1,475'}, {'bedroom': '1', 'price': '1,750'}, {'bedroom': '2', 'price': '2,295'}]",5.51km,"{'walking': '80', 'cycling': '25', 'transit': '34', 'driving': '20'}",2.6(31),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With gym', 'Pets allowed' ']"
Trademark,"437 S Hill St, Los Angeles, California(CA) 90013","1,836","[{'bedroom': 'Studio', 'price': '1,836'}, {'bedroom': '1', 'price': '2,560'}, {'bedroom': '2', 'price': '3,513'}, {'bedroom': '3', 'price': '4,799'}]",4.19km,"{'walking': '63', 'cycling': '19', 'transit': '30', 'driving': '11'}",4.9(82),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'Package collection', 'With gym ', 'Pets allowed', 'Brand new apartment']"
3036 S Hoover St,"3036 S Hoover St, Los Angeles, California(CA) 90007","2,125","[{'bedroom': 'Studio', 'price': '2,125'}, {'bedroom': '1', 'price': '2,415'}, {'bedroom': '3', 'price': '5,690'}]",0.48km,"{'walking': '8', 'cycling': '3', 'transit': '8', 'driving': '4'}",3.6(53),"['With window view', 'Free service charge', 'VR house viewing', 'With floor plan', '0 deposit', '0 gift money']"
2621 Magnolia Ave,"2621 Magnolia Ave, Los Angeles, California(CA) 90007","1,800","[{'bedroom': 'Studio', 'price': '1,800'}, {'bedroom': '1', 'price': '2,075'}, {'bedroom': '2', 'price': '2,700'}]",1.09km,"{'walking': '18', 'cycling': '5', 'transit': '18', 'driving': '6'}",3.4(51),"['With window view', 'Free service charge', 'VR house viewing', 'With floor plan', '0 deposit', '0 gift money']"
2611 Portland St,"2611 Portland St, Los Angeles, California(CA) 90007","1,975","[{'bedroom': 'Studio', 'price': '1,975'}, {'bedroom': '1', 'price': '2,365'}, {'bedroom': '2', 'price': '3,465'}]",0.95km,"{'walking': '16', 'cycling': '4', 'transit': '16', 'driving': '5'}",2.5(34),"['With window view', 'Free service charge', 'VR house viewing', 'With floor plan', '0 deposit', '0 gift money']"
Wilco,"2525 Wilshire Boulevard, Los Angeles, California(CA) 90057","2,883","[{'bedroom': 'Studio', 'price': '1,955'}, {'bedroom': '1', 'price': '2,901'}, {'bedroom': '2', 'price': '4,437'}]",4.29km,"{'walking': '58', 'cycling': '19', 'transit': '34', 'driving': '15'}",4.5(65),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee']"
Wren,"1230 S. Olive Street, Los Angeles, California(CA) 90015","2,180","[{'bedroom': 'Studio', 'price': '2,180'}, {'bedroom': '1', 'price': '2,505'}, {'bedroom': '2', 'price': '3,340'}, {'bedroom': '3', 'price': '3,935'}]",2.74km,"{'walking': '44', 'cycling': '13', 'transit': '23', 'driving': '13'}",2.9(16),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With elevator', 'With gym' , 'Pets allowed', 'Package collection']"
Vinz on Fairfax,"950 S. Fairfax Ave, Los Angeles, California(CA) 90036","2,300","[{'bedroom': 'Studio', 'price': '2,300'}, {'bedroom': '1', 'price': '2,899'}, {'bedroom': '2', 'price': '4,250'}]",8.27km,"{'walking': '128', 'cycling': '40', 'transit': '44', 'driving': '19'}",2.4(48),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With elevator', 'Collect parcels on behalf of others' ', 'With gym', 'Pets allowed']"
1204 W Adams Blvd,"1204 W Adams Blvd, Los Angeles, California(CA) 90007","2,240","[{'bedroom': '1', 'price': '2,240'}, {'bedroom': '2', 'price': '2,800'}]",1.13km,"{'walking': '18', 'cycling': '5', 'transit': '18', 'driving': '5'}",4.5(12),"['With window view', 'Free service charge', 'VR house viewing', 'With floor plan', '0 deposit', '0 gift money']"
LA Plaza Village,"555 N Spring St, Los Angeles, California(CA) 90012","2,150","[{'bedroom': 'Studio', 'price': '1,625'}, {'bedroom': '1', 'price': '2,150'}, {'bedroom': '2', 'price': '2,800'}, {'bedroom': '3', 'price': '5,325'}]",5.55km,"{'walking': '79', 'cycling': '24', 'transit': '38', 'driving': '13'}",3.8(88),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With elevator', 'Collect parcels on behalf of others' ', 'With gym']"
AMP lofts,"695 S Santa Fe Ave, Los Angeles, California(CA) 90021","2,511","[{'bedroom': 'Studio', 'price': '2,511'}, {'bedroom': '1', 'price': '2,880'}, {'bedroom': '2', 'price': '4,950'}]",5.05km,"{'walking': '87', 'cycling': '26', 'transit': '41', 'driving': '13'}",4.1(53),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With gym']"
VIDA,"11036 W. Moorpark Street, Los Angeles, California(CA) 91602","2,352","[{'bedroom': '1', 'price': '2,352'}, {'bedroom': '2', 'price': '3,024'}]",16.32km,"{'walking': '290', 'cycling': '89', 'transit': '89', 'driving': '29'}",3.8(96),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'Pets allowed', 'With gym ']"
Victory House West,"2831 University Ave, Los Angeles, California(CA) 90007",925,"[{'bedroom': 'Shared', 'price': '925'}, {'bedroom': '1', 'price': '1,000'}, {'bedroom': 'Single', 'price': '1,850'}]",0.6km,"{'walking': '10', 'cycling': '3', 'transit': '10', 'driving': '4'}",3.4(1),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee']"
Victory Trio,"635 West 30th Street, Los Angeles, California(CA) 90007",900,"[{'bedroom': '6', 'price': '900'}, {'bedroom': '5', 'price': '950'}, {'bedroom': '3', 'price': '1,100'}, {'bedroom': '2', 'price': '1,800'}]",0.67km,"{'walking': '12', 'cycling': '4', 'transit': '12', 'driving': '5'}",4.5(83),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee']"
Victory House East,"668 West 28th Street, Los Angeles, California(CA) 90007",875,"[{'bedroom': 'Shared', 'price': '875'}, {'bedroom': '1', 'price': '975'}, {'bedroom': '2', 'price': '1,350'}, {'bedroom': 'Single', 'price': '1,750'}]",0.7km,"{'walking': '13', 'cycling': '4', 'transit': '13', 'driving': '5'}",3.5(68),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee']"
Victory House Portland,"2715 Portland Street, Los Angeles, California(CA) 90007","1,055","[{'bedroom': '1', 'price': '1,055'}, {'bedroom': 'Shared', 'price': '1,100'}, {'bedroom': '2', 'price': '2,000'}]",0.81km,"{'walking': '14', 'cycling': '4', 'transit': '14', 'driving': '5'}",4.3(80),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With air conditioning', 'With furniture' ]"
Victory on 30th,"1275 West 30th Street, Los Angeles, California(CA) 90007",925,"[{'bedroom': '3', 'price': '925'}, {'bedroom': '2', 'price': '1,100'}, {'bedroom': '4', 'price': '1,798'}, {'bedroom': '1', 'price': '3,100'}]",0.83km,"{'walking': '16', 'cycling': '5', 'transit': '10', 'driving': '4'}",2.9(37),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee']"
West 27th Place,"530 West 27th Street, Los Angeles, California(CA) 90007",988,"[{'bedroom': '2', 'price': '988'}, {'bedroom': '4', 'price': '1,027'}, {'bedroom': 'Studio', 'price': '1,269'}, {'bedroom': '1', 'price': '1,675'}]",0.98km,"{'walking': '17', 'cycling': '5', 'transit': '13', 'driving': '7'}",4.8(91),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'Open for 2024 autumn application', ' Package collection', 'With gym', 'With furniture', '24-hour security', 'Pets allowed']"
Victory On Portland,"2353 Portland St, Los Angeles, California(CA) 90007",950,"[{'bedroom': '2', 'price': '950'}, {'bedroom': 'Single', 'price': '1,475'}, {'bedroom': '4', 'price': '1,525'}, {'bedroom': 'Studio', 'price': '2,250'}]",1.18km,"{'walking': '20', 'cycling': '5', 'transit': '20', 'driving': '5'}",2.3(43),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With air conditioning', 'With furniture' ]"
1297 W 36TH ST,"West 36th Street, Los Angeles, California(CA) 90007","1,450","[{'bedroom': 'Single', 'price': '1,450'}]",1.14km,"{'walking': '20', 'cycling': '6', 'transit': '17', 'driving': '5'}",3.6(45),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee']"
1421 W35 st,"1421 West 35th Street, Los Angeles, California(CA) 90018","1,150","[{'bedroom': 'Single', 'price': '1,150'}]",1.48km,"{'walking': '25', 'cycling': '8', 'transit': '13', 'driving': '5'}",2.3(3),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With furniture']"
2955 S La Salle Avenue,"2955 South La Salle Avenue, Los Angeles, California(CA) 90018",990,"[{'bedroom': 'Single', 'price': '990'}]",1.96km,"{'walking': '29', 'cycling': '9', 'transit': '28', 'driving': '6'}",3.8(76),"['With window view', 'Free service charge', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With indoor washing and drying', 'With furniture']"
1570 West 36th Street,"1570 West 36th Street, Los Angeles, California(CA) 90018","1,100","[{'bedroom': 'Single', 'price': '1,100'}]",1.86km,"{'walking': '30', 'cycling': '8', 'transit': '16', 'driving': '7'}",3.1(76),"['With window view', 'Free service charge', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With indoor washing and drying']"
2013 Raymond Avenue,"2013 Raymond Avenue, Los Angeles, California(CA) 90007","1,300","[{'bedroom': 'Single', 'price': '1,300'}]",2.07km,"{'walking': '38', 'cycling': '10', 'transit': '29', 'driving': '10'}",2.5(92),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With furniture']"
The Vermont,"3150 Wilshire Blvd, Los Angeles, California(CA) 90010","2,237","[{'bedroom': '1', 'price': '2,237'}, {'bedroom': 'Studio', 'price': '2,382'}, {'bedroom': '2', 'price': '3,058'}]",4.4km,"{'walking': None, 'cycling': None, 'transit': '20', 'driving': '8'}",4.1(39),"['With window view', 'Free service fee', 'VR house viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'Package collection', 'Allow maintenance pets', 'with gym']"
Wilshire Valencia,"1515 Wilshire Blvd, Los Angeles, California(CA) 90017","1,992","[{'bedroom': '1', 'price': '1,992'}, {'bedroom': 'Studio', 'price': '2,160'}, {'bedroom': '2', 'price': '3,136'}]",3.88km,"{'walking': '52', 'cycling': '16', 'transit': '32', 'driving': '13'}",4.1(1),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With gym', 'Pets allowed' ']"
Pegasus,"612 Flower St, Los Angeles, California(CA) 90017","1,810","[{'bedroom': 'Studio', 'price': '1,810'}, {'bedroom': '1', 'price': '2,041'}, {'bedroom': '2', 'price': '2,665'}]",3.96km,"{'walking': '62', 'cycling': '16', 'transit': '21', 'driving': '12'}",2.1(78),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee']"
Watermarke tower,"705 W 9TH ST, Los Angeles, California(CA) 90015","2,866","[{'bedroom': '1', 'price': '2,866'}, {'bedroom': '2', 'price': '4,135'}, {'bedroom': '3', 'price': '7,064'}]",3.44km,"{'walking': '49', 'cycling': '14', 'transit': '15', 'driving': '14'}",3.1(45),"['With window view', 'Free service charge', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', 'With elevator', 'Package collection', 'With gym' , 'Pets allowed']"
Wilton,"726 South Wilton Place, Los Angeles, California(CA) 90005","1,134","[{'bedroom': 'Single', 'price': '1,134'}]",4.87km,"{'walking': '92', 'cycling': '27', 'transit': '48', 'driving': '16'}",2.7(52),"['With window view', 'Free service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With elevator', 'Available for short-term rental ']"
Qwil,"525 N. Wilton Place, Los Angeles, California(CA) 90004","3,200","[{'bedroom': '1', 'price': '3,200'}, {'bedroom': '2', 'price': '4,645'}]",7.06km,"{'walking': '112', 'cycling': '35', 'transit': '57', 'driving': '21'}",2.6(5),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'Package collection', 'With gym ', 'Pets allowed']"
The Desmond at Wilshire,"5520 Wilshire Blvd, Los Angeles, California(CA) 90036","2,232","[{'bedroom': 'Studio', 'price': '2,232'}, {'bedroom': '1', 'price': '3,209'}, {'bedroom': '2', 'price': '4,189'}]",7.35km,"{'walking': '123', 'cycling': '36', 'transit': '49', 'driving': '21'}",3.8(56),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'Pets allowed', 'With gym ']"
Rise Hollywood,"1331 N Cahuenga Blvd, Los Angeles, California(CA) 90028","3,241","[{'bedroom': 'Studio', 'price': '3,241'}, {'bedroom': '1', 'price': '3,265'}, {'bedroom': '2', 'price': '5,718'}]",9.06km,"{'walking': '148', 'cycling': '44', 'transit': '75', 'driving': '27'}",3.2(4),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'Package collection', 'With gym ']"
Alexandria,"426 N Alexandria Ave, Los Angeles, California(CA) 90004","1,397","[{'bedroom': 'Single', 'price': '1,397'}]",6.37km,"{'walking': '102', 'cycling': '29', 'transit': '43', 'driving': '21'}",3.1(84),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'Short-term rental available']"
Llewellyn,"1101 North Main Street, Los Angeles, California(CA) 90012","2,450","[{'bedroom': 'Studio', 'price': '2,450'}, {'bedroom': '2', 'price': '3,400'}]",6.61km,"{'walking': '98', 'cycling': '32', 'transit': '44', 'driving': '17'}",2.4(35),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee']"
Holly Street Village,"151 E Holly St, Pasadena, California(CA) 91103","2,455","[{'bedroom': '1', 'price': '2,455'}, {'bedroom': '2', 'price': '2,847'}, {'bedroom': 'Studio', 'price': '3,082'}, {'bedroom': '3', 'price': '4,960'}]",18.76km,"{'walking': '264', 'cycling': '74', 'transit': '134', 'driving': '27'}",3.4(24),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With elevator', 'With gym' , 'Pets allowed', 'Package collection']"
Hermoyne Apartments,"569 N. Rossmore Avenue, Los Angeles, California(CA) 90004","2,395","[{'bedroom': 'Studio', 'price': '2,395'}, {'bedroom': '1', 'price': '3,100'}]",7.61km,"{'walking': '127', 'cycling': '39', 'transit': '52', 'driving': '23'}",4.4(5),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With elevator', 'With gym' ]"
Palm Court,"740 S. Burnside Avenue, Los Angeles, California(CA) 90036","3,195","[{'bedroom': '2', 'price': '3,195'}]",7.32km,"{'walking': '121', 'cycling': '36', 'transit': '49', 'driving': '20'}",4.5(70),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With elevator', 'With gym' ]"
Beverly,"4847 Beverly Blvd, Los Angeles, California(CA) 90004","1,045","[{'bedroom': 'Single', 'price': '1,045'}, {'bedroom': 'Studio', 'price': '1,855'}]",6.64km,"{'walking': '119', 'cycling': '34', 'transit': '66', 'driving': '20'}",3.6(34),"['With window view', 'Free service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With elevator', 'Available for short-term rental ']"
Alaya Hollywood,"1714 North McCadden Place, Los Angeles, California(CA) 90028","2,246","[{'bedroom': '1', 'price': '2,246'}, {'bedroom': 'Studio', 'price': '2,633'}, {'bedroom': '2', 'price': '2,834'}]",10.09km,"{'walking': '166', 'cycling': '50', 'transit': '59', 'driving': '27'}",4.4(55),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With gym', 'Pets allowed' ']"
Access,"8770 Washington Blvd Culver City, Los Angeles, California(CA) 90232","3,694","[{'bedroom': '1', 'price': '2,739'}, {'bedroom': 'Studio', 'price': '3,556'}, {'bedroom': '2', 'price': '3,706'}, {'bedroom': '3', 'price': '5,330'}]",9.31km,"{'walking': '122', 'cycling': '37', 'transit': '29', 'driving': '15'}",3.3(70),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With elevator', 'With gym' , 'Pets allowed']"
Elmwood,"418 N Norton Ave, Los Angeles, California(CA) 90004","1,145","[{'bedroom': 'Single', 'price': '1,145'}]",6.96km,"{'walking': '126', 'cycling': '36', 'transit': '64', 'driving': '22'}",4.0(16),"['With window view', 'Free service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With elevator', 'Available for short-term rental ']"
Villas of Pasadena,"300 E Bellevue Dr, Pasadena, California(CA) 91101","2,682","[{'bedroom': '1', 'price': '2,682'}, {'bedroom': '2', 'price': '3,150'}]",18.12km,"{'walking': '255', 'cycling': '73', 'transit': '62', 'driving': '23'}",2.1(51),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With elevator', 'Collect parcels on behalf of others' ', 'With gym', 'Pets allowed']"
The Glendon Apartments in Westwood,"1040 Glendon Ave, Los Angeles, California(CA) 90024","3,165","[{'bedroom': '1', 'price': '3,165'}, {'bedroom': '2', 'price': '4,096'}, {'bedroom': '3', 'price': '6,880'}]",15.3km,"{'walking': '217', 'cycling': '64', 'transit': '54', 'driving': '28'}",2.9(38),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With gym', 'Package collection ']"
Melrose,"6507 Melrose Ave, Los Angeles, California(CA) 90038","1,348","[{'bedroom': 'Single', 'price': '1,348'}]",8.38km,"{'walking': '156', 'cycling': '43', 'transit': '65', 'driving': '26'}",3.6(66),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'Short-term rental available']"
Legacy at Westwood,"10833 Wilshire Blvd, Los Angeles, California(CA) 90024","3,763","[{'bedroom': '1', 'price': '3,763'}, {'bedroom': '2', 'price': '4,489'}, {'bedroom': '3', 'price': '6,028'}]",15.16km,"{'walking': '215', 'cycling': '63', 'transit': '84', 'driving': '22'}",3.4(23),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With elevator', 'With gym' , 'Collect parcels']"
The James Hollywood,"1830 North Cherokee Avenue, Los Angeles, California(CA) 90028","2,070","[{'bedroom': 'Studio', 'price': '2,070'}, {'bedroom': '1', 'price': '3,237'}]",10.17km,"{'walking': '183', 'cycling': '49', 'transit': '49', 'driving': '24'}",2.8(92),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With air conditioning', 'With furniture' ]"
Villa Carlotta,"5959 Franklin Ave, Los Angeles, California(CA) 90028","4,569","[{'bedroom': 'Studio', 'price': '4,569'}, {'bedroom': '1', 'price': '5,639'}, {'bedroom': '2', 'price': '6,100'}]",9.78km,"{'walking': None, 'cycling': None, 'transit': None, 'driving': None}",3.0(11),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With furniture']"
1640 1/2 N Soto St,"1640 North Soto Street, Los Angeles, California(CA) 90033","1,250","[{'bedroom': 'Single', 'price': '1,250'}]",9.26km,"{'walking': '155', 'cycling': '43', 'transit': '67', 'driving': '25'}",4.0(13),"['With window view', 'Free service charge', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee', 'With furniture', 'With indoor laundry bake']"
THE LC,"710 N El Centro Ave, Los Angeles, California(CA) 90038","2,762","[{'bedroom': 'Studio', 'price': '2,762'}, {'bedroom': '2', 'price': '3,668'}]",7.73km,"{'walking': '141', 'cycling': '40', 'transit': '64', 'driving': '25'}",2.7(40),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With elevator']"
Avila Apartments,"75 W. WALNUT STREET, Pasadena, California(CA) 91103","2,979","[{'bedroom': 'Studio', 'price': '2,979'}, {'bedroom': '1', 'price': '3,148'}, {'bedroom': '2', 'price': '3,553'}]",18.8km,"{'walking': '264', 'cycling': '74', 'transit': '82', 'driving': '26'}",4.7(17),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift', '0 service fee', 'With gym', 'Pets allowed' ', 'Package collection']"
Domain West Hollywood,"7141 Santa Monica Blvd, West Hollywood, California(CA) 90046","5,219","[{'bedroom': '2', 'price': '5,219'}]",9.49km,"{'walking': '160', 'cycling': '46', 'transit': '75', 'driving': '30'}",2.1(76),"['With window view', 'No service fee', 'VR viewing', 'With floor plan', '0 deposit', '0 gift money', '0 service fee']"
